Node     ClusterCoeff
0     0.060000
1     0.000000
2     0.000000
3     1.000000
4     0.666667
5     1.000000
6     1.000000
7     0.333333
8     0.000000
9     1.000000
10     0.250000
11     1.000000
12     1.000000
13     0.500000
14     1.000000
15     1.000000
16     1.000000
17     1.000000
18     1.000000
19     1.000000
20     1.000000
21     0.095238
22     1.000000
23     1.000000
24     1.000000
25     0.000000
26     1.000000
27     0.000000
28     0.000000
29     0.000000
Average     0.630175
